City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,yellowknife,62.456,-114.3525,45.12,93,100,3.44,CA,1697151723
1,port-aux-francais,-49.35,70.2167,36.46,80,83,17.27,TF,1697151950
2,adamstown,-25.066,-130.1015,69.6,69,97,11.83,PN,1697151951
3,waitangi,-43.9535,-176.5597,54.82,71,53,5.01,NZ,1697151951
4,el salto,20.3333,-104.5,69.3,79,71,1.9,MX,1697151952
5,cooper's town,26.8667,-77.5167,83.66,86,100,20.22,BS,1697151953
6,magdagachi,53.45,125.8,45.64,60,26,7.45,RU,1697151953
7,dalandzadgad,43.5708,104.425,48.13,32,0,6.87,MN,1697151953
8,ulsteinvik,62.3432,5.8487,49.32,72,100,20.0,NO,1697151954
9,haiku-pauwela,20.9219,-156.3051,85.17,65,20,17.27,US,1697151954
10,marquette,46.5333,-87.6335,45.84,80,87,1.01,US,1697151955
11,las vegas,36.175,-115.1372,78.12,17,0,28.01,US,1697151723
12,hawaiian paradise park,19.5933,-154.9731,84.04,73,100,9.22,US,1697151955
13,barcelona,41.3888,2.159,70.54,82,20,2.3,ES,1697151934
14,vallenar,-28.5708,-70.7581,74.19,24,0,4.23,CL,1697151956
15,carnarvon,-24.8667,113.6333,77.9,51,19,12.73,AU,1697151706
16,harstad,68.799,16.5293,35.62,90,62,15.99,NO,1697151957
17,puerto ayora,-0.7393,-90.3518,84.16,81,59,11.01,EC,1697151957
18,olonkinbyen,70.9221,-8.7187,31.12,90,94,22.84,SJ,1697151958
19,badger,64.8,-147.5333,32.0,77,75,3.44,US,1697151958
20,crane,31.3974,-102.3501,88.54,18,0,20.42,US,1697151958
21,howard springs,-12.497,131.047,85.82,60,9,4.41,AU,1697151959
22,ushuaia,-54.8,-68.3,46.06,66,20,36.82,AR,1697151699
23,santa cecilia,-26.9608,-50.4269,51.58,99,100,5.68,BR,1697151960
24,grytviken,-54.2811,-36.5092,27.79,86,94,4.61,GS,1697151960
25,zyryanovsk,49.7386,84.2719,56.75,49,100,0.58,KZ,1697151961
26,guercif,34.2257,-3.3536,70.84,74,1,4.27,MA,1697151961
27,edinburgh of the seven seas,-37.0676,-12.3116,55.42,81,41,12.15,SH,1697151961
28,shingu,33.7333,135.9833,64.17,61,4,4.16,JP,1697151803
29,zaozersk,69.4005,32.4476,36.68,85,100,20.0,RU,1697151962
30,queenstown,-31.8976,26.8753,50.36,79,0,2.82,ZA,1697151963
31,vorgashor,67.5833,63.95,31.28,71,100,14.83,RU,1697151963
32,tiksi,71.6872,128.8694,23.56,96,100,8.39,RU,1697151963
33,artigas,-30.4,-56.4667,49.32,72,0,9.17,UY,1697151964
34,albany,42.6001,-73.9662,57.45,68,35,5.44,US,1697151910
35,mount pearl,47.5166,-52.7813,54.32,99,100,10.36,CA,1697151942
36,toktogul,41.8708,72.9402,60.4,38,76,2.64,KG,1697151965
37,tura,25.5198,90.2201,69.55,75,0,2.59,IN,1697151965
38,acarau,-2.8856,-40.12,79.21,82,11,15.52,BR,1697151966
39,shubarshi,48.5872,57.1869,41.63,57,1,7.61,KZ,1697151966
